cm-1,laser-disk-center_CB-5e-3_0-s,laser-disk-center_CB-5e-3_1-s,laser-disk-center_CB-5e-3_3-s,laser-disk-center_CB-5e-3_4-s,laser-disk-center_CB-5e-3_5-s
418.4842,-0.2793139585239138,-0.2617897169552722,-0.2808257435282485,-0.31985926168364376,-0.2589543790066092
419.4484,-0.27830287840681744,-0.2613146838964256,-0.2800000685379418,-0.3199924804595635,-0.2581200590073501
420.4127,-0.2775024178220212,-0.2610078359166703,-0.2793989578797034,-0.32034755079573213,-0.2575914306117718
421.3769,-0.276836052986947,-0.26095087050043614,-0.2790133241837492,-0.3206013009659899,-0.2573360438632849
422.3412,-0.27626422129614336,-0.26108651776815456,-0.27864273520155897,-0.3204348821808011,-0.25728896610583324
423.3054,-0.2758846063596618,-0.2612792765815084,-0.2781140778341842,-0.31970421956073836,-0.2573468438956795
424.2697,-0.2758386570794128,-0.2614027102042192,-0.2774541036946805,-0.3185010854325512,-0.25737484334569244
425.2339,-0.27614558385267096,-0.26138778054680567,-0.27687265928289445,-0.31709505371874996,-0.2572715610739388
426.1982,-0.27660034427602276,-0.26119889317657324,-0.27653869146581167,-0.31577621684560403,-0.2570261267302702
427.1624,-0.2768861631023917,-0.26081797331288914,-0.2764151694087865,-0.31473274240934374,-0.25670095043319563
428.1267,-0.27677329827798974,-0.26025486235368883,-0.276293707157364,-0.31401881206157173,-0.25634879949483547
429.0909,-0.2762576772252438,-0.259570186521389,-0.27598853432290466,-0.3136116309181097,-0.2559604502847848
430.0552,-0.27552322837221893,-0.2588606379022535,-0.2754831344682495,-0.31345203111935993,-0.25547572021737885
431.0194,-0.2748022770885354,-0.2582053940593138,-0.27490118035522493,-0.3134475845457578,-0.2548492234031335
431.9837,-0.27423186786614606,-0.257628225436697,-0.274363003637025,-0.31345987898920846,-0.2541027139274698
432.9479,-0.27383159468189905,-0.25713073143888715,-0.27391335844147463,-0.3133738237567173,-0.2533477130471297
433.9122,-0.27353829724706424,-0.25673652201701447,-0.2735189406949144,-0.3131403785643484,-0.25273420956811127
434.8764,-0.27331111181005924,-0.2565345900507291,-0.273191355747615,-0.312842734807366,-0.2524289018573871
435.8407,-0.27313867380884765,-0.2566134885964561,-0.2730002380900252,-0.3126054004198652,-0.2525287754140644
436.8049,-0.2730003600899586,-0.25696405419433194,-0.27301168424407174,-0.3124785654626093,-0.252985596491587
437.7692,-0.2728213806911186,-0.25743470866018314,-0.2731815329563553,-0.31236894021014067,-0.2535749872906204
438.7334,-0.272520000243008,-0.2577870547097698,-0.2733297198864402,-0.31211007287908,-0.25398983036384437
439.6977,-0.27210198212775266,-0.2578310639621624,-0.2732089914009684,-0.3116026062668337,-0.2539981255811144
440.6619,-0.27170909551721484,-0.2575271235283508,-0.27266564605123916,-0.3109179118046122,-0.2535806173133012
441.6262,-0.27153142188526724,-0.2569867238922306,-0.2717424593466757,-0.31026197073822126,-0.2529158685269481
442.5904,-0.27165853060249273,-0.2563752033168101,-0.2706855144555818,-0.30984360943573624,-0.2522518654141985
443.5547,-0.2719879359270442,-0.25578323818238635,-0.26980278643329353,-0.30972303799385076,-0.25175848435266673
444.5189,-0.27228431372892326,-0.2551699343050014,-0.26927495548855207,-0.3097687669814997,-0.251465954609162
445.4832,-0.27233180407601154,-0.2544340124754904,-0.2690642412265438,-0.3097503680890215,-0.25130760156042103
446.4474,-0.27203478450549284,-0.25352632077692006,-0.2689546151167962,-0.3094845941607872,-0.2511967529679129
447.4117,-0.27141503400040456,-0.25252210335863245,-0.2686995578635832,-0.3089114849184444,-0.25103092319487713
448.3759,-0.2705692582629503,-0.2516028611795752,-0.26819484763442597,-0.3081174208622226,-0.25073664685761954
449.3401,-0.2695805993248979,-0.250929119711091,-0.26747980420043715,-0.3072291751475989,-0.25023997503603196
450.3044,-0.26861809090445454,-0.2506458744582506,-0.26677604810563826,-0.3064556893326379,-0.2496019894957444
451.2687,-0.26791611388427256,-0.2508561559324909,-0.2663547034633935,-0.30603141481131185,-0.249002436265967
452.2329,-0.26768973592759354,-0.25157555968129036,-0.2663672931898162,-0.3061155251509389,-0.24863079807087346
453.1972,-0.2679864891118685,-0.25267818800609887,-0.2667457614354273,-0.3066710909840142,-0.24854026852678388
